TestName,InstrumentName,ResultValueTime,ResultValue,ResultValueDate
K,C8K_77,11:00:01,0.1,2022/10/06
K,C8K_77,11:01:01,0.2,2022/10/06
K,C8K_77,11:02:01,0.3,2022/10/06
K,C8K_77,11:03:01,0.4,2022/10/06
K,C8K_77,11:04:01,0.5,2022/10/06
K,C8K_77,11:05:01,0.6,2022/10/06
K,C8K_77,11:01:01,0.7,2022/10/06
K,C8K_77,11:02:01,0.8,2022/10/06
K,C8K_77,11:03:01,0.9,2022/10/06
K,C8K_77,11:04:01,1.0,2022/10/06
K,C8K_77,11:05:01,1.1,2022/10/06
K,C8K_77,11:05:01,1.2,2022/10/06
K,C8K_77,11:07:01,1.3,2022/10/06
K,C8K_77,11:08:01,1.4,2022/10/06
K,C8K_77,11:07:01,1.5,2022/10/06
K,C8K_77,11:02:01,1.6,2022/10/06
K,C8K_77,11:01:21,1.7,2022/10/06
K,C8K_77,11:01:31,1.8,2022/10/06
K,C8K_77,11:01:41,1.9,2022/10/06
CL,C8K_77,11:01:41,1.9,2022/10/06
